

1544039682.543778290  Node Startup
1544039682.716108349 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544039683.190053808 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_motor_node/src/motor_chain.cpp:94(MotorChain::setup_chain) [topics: /rosout, /diagnostics] Using fixed control period: 0.010000000
1544039687.732005846 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544039689.318431537 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:74(RosChain::handle_init) [topics: /rosout, /diagnostics] Initializing XXX
1544039689.339010770 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 1 device error: system:0 internal_error: 0 (OK)
1544039689.339546595 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 2 device error: system:0 internal_error: 0 (OK)
1544039689.340096946 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 2 device error: system:100 internal_error: 0 (OK)
1544039689.340140248 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 1 device error: system:100 internal_error: 0 (OK)
1544039689.360090348 ERROR [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:60(RosChain::run) [topics: /rosout, /diagnostics] CAN not ready
1544039692.752732154 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544039697.764696357 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
1544039699.340999493 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:74(RosChain::handle_init) [topics: /rosout, /diagnostics] Initializing XXX
1544039699.342767603 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 1 device error: system:125 internal_error: 0 (OK)
1544039699.342843590 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 0 device error: system:125 internal_error: 0 (OK)
1544039699.342978804 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 0 device error: system:0 internal_error: 0 (OK)
1544039699.343071274 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 0 device error: system:0 internal_error: 0 (OK)
1544039699.346639341 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 1 device error: system:0 internal_error: 0 (OK)
1544039699.346809755 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 2 device error: system:0 internal_error: 0 (OK)
1544039699.346941895 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 2 device error: system:100 internal_error: 0 (OK)
1544039699.346992740 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 1 device error: system:100 internal_error: 0 (OK)
1544039700.346963714 ERROR [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:60(RosChain::run) [topics: /rosout, /diagnostics] CAN not ready
1544039700.347297557 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 1 device error: system:0 internal_error: 0 (OK)
1544039700.347358459 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 0 device error: system:0 internal_error: 0 (OK)
1544039700.347403157 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 0 device error: system:0 internal_error: 0 (OK)
1544039702.226069508 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:74(RosChain::handle_init) [topics: /rosout, /diagnostics] Initializing XXX
1544039702.226230423 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 1 device error: system:0 internal_error: 0 (OK)
1544039702.226472075 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 2 device error: system:0 internal_error: 0 (OK)
1544039702.226701994 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 2 device error: system:100 internal_error: 0 (OK)
1544039702.226744178 INFO [/home/seekurjr/catkin_ws/src/ros_canopen-kinetic/canopen_chain_node/src/ros_chain.cpp:49(RosChain::logState) [topics: /rosout, /diagnostics] Current state: 1 device error: system:100 internal_error: 0 (OK)
1544039702.779097107 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.14/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/arm/controller_manager/load_controller] has not been advertised, waiting...
